200,AGS,A,PlayAGS,11
201,AGTC,A,Applied,4
202,AGTI,A,Agiliti,19
203,AGX,A,Argan,44
204,AGYS,A,Agilysys,29
205,AHAC,A,Alpha,11
206,AHC,A,A.H.,5
208,AHH,A,Armada,14
210,AHPI,A,Allied,5
211,AHT,A,Ashford,19
212,AI,A,C3.ai,94
213,AIG,A,American,43
214,AIH,A,Aesthetic,7
215,AIHS,A,Senmiao,2
216,AIKI,A,AIkido,1
217,AIM,A,AIM,3
220,AIN,A,Albany,71
221,AINC,A,Ashford,22
222,AINV,A,Apollo,13
223,AIR,A,AAR,34
224,AIRC,A,Apartment,43
225,AIRG,A,Airgain,14
226,AIRI,A,Air,1
228,AIRT,A,Air,18
229,AIT,A,Applied,66
230,AIV,A,Aimco,6
231,AIZ,A,Assurant,121
232,AJAX,A,Ajax,11
234,AJRD,A,Aerojet,44
235,AJX,A,Great,12
236,AKAM,A,Akamai,94
237,AKBA,A,Akebia,6
240,AKIC,A,Sports,10
243,AKOM,A,Aerkomm,11
244,AKR,A,Acadia,21
245,AKRO,A,Akero,26
248,AKTS,A,Akoustis,8
249,AKTX,A,Akari,2
251,AKUS,A,Akouos,18
252,AL,A,Air,38
253,ALAC,A,Alberton,11
254,ALB,A,Albemarle,96
255,ALBO,A,Albireo,29
256,ALC,A,Alcon,61
257,ALCO,A,Alico,31
258,ALDX,A,Aldeyra,7
260,ALEAF,A,Aleafia,1
261,ALEC,A,Alector,19
262,ALEX,A,Alexander,19
263,ALF,A,ALFI,6
264,ALG,A,Alamo,117
265,ALGM,A,Allegro,27
267,ALGS,A,Aligos,24
268,ALGT,A,Allegiant,153
269,ALHC,A,Alignment,24
270,ALIM,A,Alimera,7
271,ALJJ,A,ALJ,1
272,ALK,A,Alaska,55
274,ALKT,A,Alkami,37
275,ALL,A,Allstate,104
276,ALLE,A,Allegion,109
277,ALLK,A,Allakos,78
278,ALLO,A,Allogene,31
279,ALLT,A,Allot,10
280,ALLY,A,Ally,31
281,ALNA,A,Allena,3
282,ALNY,A,Alnylam,116
286,ALPN,A,Alpine,7
287,ALPP,A,Alpine,1
288,ALRM,A,Alarm.com,62
289,ALRN,A,Aileron,1
290,ALRS,A,Alerus,22
291,ALSK,A,Alaska,2
292,ALSN,A,Allison,42
293,ALT,A,Altimmune,8
294,ALTA,A,Altabancorp,29
296,ALTG,A,Alta,9
297,ALTM,A,Altus,56
298,ALTO,A,Alto,3
299,ALTR,A,Altair,43
300,ALTU,A,Altitude,10
301,ALUS,A,Alussa,10
302,ALV,A,Autoliv,78
303,ALVR,A,AlloVir,31
305,ALXN,A,Alexion,124
306,ALXO,A,ALX,60
307,ALYA,A,Alithya,2
308,AM,A,Antero,8
310,AMAL,A,Amalgamated,15
311,AMAO,A,American,10
313,AMBA,A,Ambarella,63
314,AMBC,A,Ambac,17
